time_seconds,note_midi,confidence
25.1356,35,0.97
25.1472,35,0.97
25.1588,35,0.97
25.1704,35,0.96
25.1820,35,0.94
25.1937,35,0.89
25.2053,35,0.90
25.2169,35,0.92
25.3910,35,0.83
25.4026,35,0.82
25.4142,35,0.83
25.4259,35,0.85
25.4375,35,0.90
25.4491,35,0.83
25.4955,35,0.80
26.8887,47,0.81
28.8044,29,0.82
29.2223,102,0.80
29.8957,31,0.84
29.9073,31,0.81
29.9189,31,0.83
29.9305,31,0.86
30.0234,31,0.87
30.0815,43,0.81
30.1976,30,0.81
30.2092,49,0.94
30.2208,49,0.93
30.2324,49,0.95
30.2440,49,0.88
30.8129,31,0.90
30.8245,31,0.91
30.8361,31,0.84
30.8477,31,0.81
30.8593,31,0.83
30.9522,31,0.81
30.9638,31,0.85
30.9754,31,0.84
31.6836,46,0.81
31.6952,46,0.80
31.7068,46,0.81
31.7185,35,0.81
31.8578,35,0.83
31.8810,35,0.89
31.8926,35,0.95
31.9042,35,0.95
31.9158,35,0.93
31.9274,35,0.94
31.9390,35,0.88
31.9507,36,0.82
31.9623,36,0.81
32.0551,37,0.80
32.3570,35,0.80
32.4151,47,0.90
32.4267,47,0.84
32.6473,34,0.80
32.7866,35,0.85
32.7982,35,0.90
32.8098,35,0.92
32.8214,35,0.94
32.8330,35,0.92
32.8446,35,0.94
32.8562,35,0.96
32.8678,35,0.92
34.3539,39,0.90
34.3655,39,0.95
34.3771,39,0.96
34.3888,39,0.94
34.4004,39,0.87
34.4120,38,0.84
34.4236,39,0.82
34.8996,39,0.86
34.9576,38,0.84
34.9693,39,0.86
34.9809,38,0.86
34.9925,38,0.81
35.0041,39,0.80
35.0157,38,0.84
35.0273,38,0.85
35.0389,38,0.86
35.0505,38,0.84
35.0854,122,0.86
35.0970,122,0.86
35.1086,122,0.82
35.1202,38,0.83
35.1318,38,0.80
35.1782,38,0.86
35.1898,38,0.85
35.2015,38,0.86
35.2131,39,0.86
35.2247,39,0.86
35.2363,39,0.87
35.2479,38,0.92
35.2595,38,0.95
35.2711,38,0.94
35.2827,38,0.92
35.3059,38,0.95
35.3176,38,0.95
35.4453,38,0.87
36.3741,29,0.82
36.3857,29,0.84
36.3973,29,0.80
37.0939,30,0.82
37.1055,30,0.90
37.1171,30,0.88
37.1287,30,0.85
37.1403,30,0.86
37.1519,30,0.84
37.1635,30,0.82
37.1751,30,0.85
37.1868,30,0.86
37.2100,42,0.81
37.2796,31,0.82
37.2912,31,0.81
37.3261,31,0.80
37.3841,31,0.82
37.3957,31,0.89
37.4306,31,0.87
37.4422,31,0.84
37.4770,31,0.88
37.4886,31,0.87
37.5002,31,0.87
37.5118,31,0.88
37.5234,31,0.90
37.5351,31,0.89
37.5467,31,0.90
37.5583,31,0.90
37.5699,31,0.88
37.5815,31,0.88
37.5931,31,0.85
37.6047,31,0.84
37.6163,31,0.88
37.6279,31,0.92
37.6395,31,0.90
37.6512,31,0.89
37.6628,31,0.85
37.9995,31,0.83
38.0111,31,0.84
38.0227,31,0.82
38.0343,31,0.87
38.0459,31,0.88
38.0575,31,0.83
38.0691,31,0.84
38.0807,31,0.82
38.0923,31,0.82
38.1272,31,0.83
38.1968,31,0.88
38.2084,31,0.81
38.3942,31,0.84
38.4058,31,0.85
38.4174,31,0.84
38.4290,31,0.88
38.4406,31,0.91
38.4522,31,0.87
38.4639,31,0.83
38.4755,31,0.87
38.4871,31,0.88
38.4987,31,0.82
38.5103,31,0.83
38.5219,31,0.86
38.5335,31,0.83
38.5451,31,0.81
38.9283,33,0.80
38.9399,33,0.84
38.9515,33,0.89
38.9631,33,0.86
39.0095,33,0.85
39.0211,33,0.83
39.2766,35,0.87
39.2882,35,0.89
39.2998,35,0.81
39.3927,35,0.86
39.4043,35,0.86
39.4159,35,0.87
39.4275,47,0.90
39.4391,47,0.92
39.4507,47,0.91
39.4623,47,0.89
39.4739,35,0.97
39.4855,35,0.97
39.4971,35,0.95
39.5088,35,0.93
39.5204,35,0.86
39.6597,35,0.85
39.6713,35,0.89
39.6829,35,0.87
39.6945,35,0.84
39.7061,35,0.88
39.7177,35,0.91
39.7293,35,0.86
39.7410,35,0.81
39.8338,35,0.85
39.8454,35,0.91
39.8571,35,0.93
39.8687,35,0.92
39.8803,35,0.89
39.8919,35,0.86
39.9383,35,0.86
39.9499,35,0.94
39.9615,35,0.90
39.9732,35,0.89
39.9848,35,0.89
40.1821,35,0.87
40.1937,35,0.89
40.2054,35,0.90
40.2170,35,0.88
40.2286,35,0.92
40.2402,35,0.89
40.2518,35,0.92
40.2634,36,0.88
40.2750,35,0.90
40.2866,35,0.90
40.2982,35,0.89
40.3098,35,0.90
40.3215,35,0.91
40.3331,35,0.93
40.3447,35,0.95
40.3563,35,0.95
40.3679,35,0.94
40.3795,35,0.91
40.3911,35,0.91
40.4027,35,0.94
40.4143,35,0.95
40.4259,35,0.95
40.4376,35,0.94
40.4492,35,0.95
40.4608,35,0.95
40.4724,35,0.92
40.4840,35,0.90
40.4956,35,0.95
40.5072,35,0.94
40.5188,35,0.93
40.5304,35,0.91
40.5420,35,0.95
40.5537,35,0.95
40.5653,35,0.95
40.5769,35,0.95
40.5885,35,0.96
40.6001,35,0.96
40.6117,35,0.95
40.6233,35,0.93
40.6349,35,0.91
40.6465,35,0.91
40.6581,35,0.91
40.6698,35,0.92
40.6814,34,0.93
40.6930,34,0.94
40.7046,34,0.88
40.7162,33,0.89
40.7278,33,0.86
40.7394,33,0.81
40.7510,33,0.83
40.8555,30,0.81
40.9832,29,0.83
41.0180,29,0.82
41.0297,29,0.81
41.9004,29,0.87
41.9120,29,0.82
43.4910,41,0.82
43.9902,29,0.80
44.0831,35,0.83
44.4314,41,0.80
44.6636,31,0.84
44.9074,31,0.86
44.9190,31,0.93
44.9306,31,0.97
44.9422,31,0.98
44.9538,31,0.97
44.9654,31,0.92
44.9771,31,0.93
44.9887,31,0.92
45.0003,31,0.88
45.0119,31,0.85
45.0235,42,0.83
45.1048,43,0.86
45.1628,42,0.83
45.2093,31,0.82
45.2209,43,0.89
45.2325,43,0.87
45.2441,31,0.86
45.2557,43,0.81
45.2673,43,0.86
45.2789,43,0.87
45.2905,31,0.80
45.3137,43,0.81
45.3254,43,0.83
45.3370,43,0.86
45.3486,41,0.81
45.3950,31,0.85
45.4066,31,0.90
45.4182,31,0.88
45.4298,31,0.90
45.4415,31,0.94
45.4531,31,0.92
45.4647,31,0.91
45.4763,31,0.92
45.4879,31,0.87
45.4995,31,0.82
